Word Mark,Goods and Services,Filing Date,Owner
CELEBRATION CAFFE,IC 030. US 046. G & S: Coffee. FIRST USE: 19971015. FIRST USE IN COMMERCE: 19971015,"March 10, 1998","(REGISTRANT) Allegro Coffee Company CORPORATION COLORADO 1930 Central Avenue Boulder COLORADO 80301 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
CHEDDAR CHICKS,IC 030. US 046. G & S: Crackers,"March 4, 2021","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Avenue North ATTN: Trademarks Seattle WASHINGTON 98109"
CITY BUTCHER,"IC 029. US 046. G & S: Sausage and sausage links, [ salami, bologna, ] turkey, [ ham, bratwurst, frankfurters; polish and ] smoked ring sausage; Smoked and cured meats; [ luncheon meats; ] poultry; [ breaded and prepared meats and poultry; ] beef; pork [, lamb and veal ]. FIRST USE: 20000915. FIRST USE IN COMMERCE: 20010312","January 29, 2001","(REGISTRANT) Whole Foods Market Southwest L.P. Whole Foods Market Southwest I, Inc., a Delaware corporation LIMITED PARTNERSHIP TEXAS 1105 N. Lamar Blvd., Suite 200 Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
COASTAL BLUE,IC 025. US 022 039. G & S: Women's swimwear. FIRST USE: 20170327. FIRST USE IN COMMERCE: 20170327,"February 3, 2017","(REGISTRANT) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVE N SEATTLE WASHINGTON 98109"
COMMON CASUALS,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, scarves, jackets and coats, raincoats, fashion headbands and hats, belts, sleepwear, lingerie, socks, gloves, and hosiery","April 5, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
COMMON DISTRICT,"IC 025. US 022 039. G & S: jackets, none of the foregoing for sale in the promotional products market. FIRST USE: 20180831. FIRST USE IN COMMERCE: 20180831","June 22, 2018","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
COMPASS ROAD,"IC 033. US 047 049. G & S: Wine IC 035. US 100 101 102. G & S: Advertising; business management; business administration; office functions; retail store services and online retail store services featuring wine; providing an incentive award program for consumers that provides for discounted pricing to consumers for their purchases of specified products, namely, wine; administration of a customer loyalty program which provides discounts, coupons, rebates, vouchers and special offers for customers; providing information and advisory and consultancy services relating to the foregoing","February 19, 2020","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Avenue North Seattle WASHINGTON 98109"
COOPER JAMES,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, scarves, jackets and coats, raincoats, fashion headbands and hats, belts, sleepwear, lingerie, socks, gloves, and hosiery","April 5, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98106"
Core 10,,,
COUNTDOWN TO ZERO,"IC 025. US 022 039. G & S: Clothing, namely, shirts, t-shirts, sweatshirts, pants, jerseys, leggings, shorts, skirts, sweaters, pullovers, hoodies, tracksuits, scarves, jackets, coats, vests, athletic tights, gloves, mittens, socks, wristbands, loungewear, sleepwear, pajamas, belts, neckwear, ties, baby bibs not of paper, and swimwear; footwear; headwear IC 035. US 100 101 102. G & S: Advertising; promoting the goods and services of others; promoting sports competitions of others; promoting the concerts of others; retail store services featuring general consumer goods; retail store services featuring clothing, footwear, headwear, athletic bags, backpacks, food, beverages, toys, sporting goods, printed materials, and souvenirs; concession stands featuring food and souvenirs IC 041. US 100 101 107. G & S: Arranging and conducting athletic competitions; organizing sporting events; conducting sports competitions; renting sports grounds; entertainment, namely, live music concerts; providing a web site featuring sporting and concert information; sport camps; ticket agency services for sporting and entertainment events IC 043. US 100 101. G & S: Arena services, namely, providing general purpose facilities for sports, concerts, conventions, trade shows, and exhibitions; restaurant and bar services; providing food and drink","October 14, 2020","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Seattle WASHINGTON 98109"
CREATIVE GALAXY,IC 016. US 002 005 022 023 029 037 038 050. G & S: arts and craft paint kits; coloring books; and stickers. FIRST USE: 20161213. FIRST USE IN COMMERCE: 20161213,"September 30, 2014",(REGISTRANT) Amazon Technologies Inc. CORPORATION NEVADA 410 Terry Ave N ATTN: Trademarks Seattle WASHINGTON 98109
D R,"IC 018. US 001 002 003 022 041. G & S: Purses, and handbags, all-purpose carrying bags, tote bags, traveling bags, shoulder bags, clutch purses, backpacks, athletic bags, wallets, coin purses and cosmetic bags sold empty IC 025. US 022 039. G & S: Clothing, footwear, and headgear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, jumpsuits, leggings, sweaters, scarves, jackets and coats, raincoats, fashion headbands and hats, belts, sleepwear, lingerie, socks, gloves, and hosiery","January 24, 2018","(APPLICANT) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVE N SEATTLE WASHINGTON 98109"
DAILY RITUAL,"IC 025. US 022 039. G & S: Clothing, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, jumpsuits, sweaters, jackets and coats. FIRST USE: 20180212. FIRST USE IN COMMERCE: 20180212","July 24, 2017","(REGISTRANT) Amazon Technologies , Inc. LIMITED LIABILITY COMPANY DELAWARE 410 Terry Ave N Seattle WASHINGTON 98109"
DAISY DRIVE,"IC 025. US 022 039. G & S: Clothing, namely, blouses, shirts, skirts, tunics, dresses, jackets. FIRST USE: 20171116. FIRST USE IN COMMERCE: 20171116","April 3, 2018","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
DAYANA,IC 025. US 022 039. G & S: swimwear. FIRST USE: 20180505. FIRST USE IN COMMERCE: 20180505,"May 3, 2018","(REGISTRANT) Amazon Technologies , Inc. CORPORATION WASHINGTON Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
